fiscal_year,payroll_number,agency_name,agency_start_date,work_location_borough,title_description,leave_status_as_of_june_30,base_salary,pay_basis,regular_hours,regular_gross_paid,ot_hours,total_ot_paid,total_other_pay
2025,67,ADMIN FOR CHILDREN'S SVCS,2011-06-20T00:00:00.000,MANHATTAN,CHILD WELFARE SPECIALIST SUPERVISOR,ACTIVE,101212.00,per Annum,1820,98084.78,0,0.00,4256.69
2025,67,ADMIN FOR CHILDREN'S SVCS,2011-10-24T00:00:00.000,MANHATTAN,CHILD PROTECTIVE SPECIALIST SUPERVISOR,ACTIVE,78315.00,per Annum,1820,104100.30,0,0.00,6024.08
2025,67,ADMIN FOR CHILDREN'S SVCS,2011-10-24T00:00:00.000,QUEENS,CHILD PROTECTIVE SPECIALIST,ACTIVE,70106.00,per Annum,1820,67939.88,135.25,6112.32,8074.92
2025,67,ADMIN FOR CHILDREN'S SVCS,2024-05-06T00:00:00.000,MANHATTAN,COMPUTER ASSOCIATE,ACTIVE,57790.00,per Annum,1750,54648.74,0,0.00,34.00
2025,67,ADMIN FOR CHILDREN'S SVCS,2020-01-24T00:00:00.000,MANHATTAN,CHILD AND FAMILY SPECIALIST,ACTIVE,97593.00,per Annum,1820,94577.64,0,0.00,0.00
2025,67,ADMIN FOR CHILDREN'S SVCS,2023-06-05T00:00:00.000,MANHATTAN,DIRECTOR OF PUBLIC INFORMATION,CEASED,130592.00,per Annum,70,4995.32,0,0.00,0.00
2025,67,ADMIN FOR CHILDREN'S SVCS,2012-10-22T00:00:00.000,BRONX,CHILD PROTECTIVE SPECIALIST SUPERVISOR,ACTIVE,78315.00,per Annum,1820,78700.93,178,8955.14,6900.25
2025,67,ADMIN FOR CHILDREN'S SVCS,2025-04-14T00:00:00.000,QUEENS,YOUTH DEVELOPMENT SPECIALIST,CEASED,51502.00,per Annum,105,2864.34,0,0.00,0.00
2025,67,ADMIN FOR CHILDREN'S SVCS,2016-04-25T00:00:00.000,MANHATTAN,SUPERVISOR I,ACTIVE,68422.00,per Annum,1820,66307.84,800.5,45169.31,5646.63
2025,67,ADMIN FOR CHILDREN'S SVCS,2014-05-05T00:00:00.000,MANHATTAN,ADMINISTRATIVE STAFF ANALYST,ACTIVE,177464.00,per Annum,1820,171387.78,0,0.00,2000.00
